,ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
1997705,2020-03-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.13667,0.24649000000000001,full_february,DAY_OF_WEEK
1997706,2020-03-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.07561,0.22038000000000002,full_february,DAY_OF_WEEK
1997707,2020-03-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10471,0.21413000000000001,full_february,DAY_OF_WEEK
1997708,2020-03-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.01248,0.21114000000000002,full_february,DAY_OF_WEEK
1997709,2020-03-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10722999999999999,0.22530999999999998,full_february,DAY_OF_WEEK
1997710,2020-03-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.09936,0.22726999999999997,full_february,DAY_OF_WEEK
1997711,2020-03-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.02445,0.18572,full_february,DAY_OF_WEEK
1997712,2020-03-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.0343,0.20382,full_february,DAY_OF_WEEK
1997713,2020-03-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10085,0.22694,full_february,DAY_OF_WEEK
1997714,2020-03-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10225,0.21639,full_february,DAY_OF_WEEK
1997715,2020-03-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.04615,0.20881,full_february,DAY_OF_WEEK
1997716,2020-03-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.06683,0.19305,full_february,DAY_OF_WEEK
1997717,2020-03-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10354000000000001,0.2396,full_february,DAY_OF_WEEK
1997718,2020-03-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.16285,0.2327,full_february,DAY_OF_WEEK
1997719,2020-03-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15958,0.23210999999999998,full_february,DAY_OF_WEEK
1997720,2020-03-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15105,0.21871,full_february,DAY_OF_WEEK
1997721,2020-03-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28636,0.23956999999999998,full_february,DAY_OF_WEEK
1997722,2020-03-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.4073,0.25955,full_february,DAY_OF_WEEK
1997723,2020-03-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.41618999999999995,0.27055,full_february,DAY_OF_WEEK
1997724,2020-03-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.33019,0.30055,full_february,DAY_OF_WEEK
1997725,2020-03-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.41994,0.31182,full_february,DAY_OF_WEEK
1997726,2020-03-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.45168,0.30603,full_february,DAY_OF_WEEK
1997727,2020-03-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.45632,0.29935,full_february,DAY_OF_WEEK
1997728,2020-03-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.50555,0.30222,full_february,DAY_OF_WEEK
1997729,2020-03-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.48903,0.31137,full_february,DAY_OF_WEEK
1997730,2020-03-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44078,0.29388000000000003,full_february,DAY_OF_WEEK
1997731,2020-03-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.38026,0.3225,full_february,DAY_OF_WEEK
1997732,2020-03-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44176000000000004,0.30022,full_february,DAY_OF_WEEK
1997733,2020-03-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.4414,0.29657,full_february,DAY_OF_WEEK
1997734,2020-03-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44188,0.2802,full_february,DAY_OF_WEEK
1997735,2020-03-31,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.49054,0.27687,full_february,DAY_OF_WEEK
1997736,2020-04-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.40386,0.27032,full_february,DAY_OF_WEEK
1997737,2020-04-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.39943,0.27232,full_february,DAY_OF_WEEK
1997738,2020-04-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.27082,0.27634000000000003,full_february,DAY_OF_WEEK
1997739,2020-04-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.37966,0.29713,full_february,DAY_OF_WEEK
1997740,2020-04-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.31675,0.239,full_february,DAY_OF_WEEK
1997741,2020-04-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.40229000000000004,0.28513,full_february,DAY_OF_WEEK
1997742,2020-04-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.40984,0.27182,full_february,DAY_OF_WEEK
1997743,2020-04-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.40525,0.25132,full_february,DAY_OF_WEEK
1997744,2020-04-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.41648999999999997,0.28488,full_february,DAY_OF_WEEK
1997745,2020-04-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.37179,0.29161,full_february,DAY_OF_WEEK
1997746,2020-04-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.43995,0.29277,full_february,DAY_OF_WEEK
1997747,2020-04-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.41436000000000006,0.2744,full_february,DAY_OF_WEEK
1997748,2020-04-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44695,0.27676,full_february,DAY_OF_WEEK
1997749,2020-04-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44868,0.27901,full_february,DAY_OF_WEEK
1997750,2020-04-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.36493000000000003,0.26875,full_february,DAY_OF_WEEK
1997751,2020-04-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.36696,0.25,full_february,DAY_OF_WEEK
1997752,2020-04-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28160999999999997,0.2407,full_february,DAY_OF_WEEK
1997753,2020-04-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.27589,0.23721,full_february,DAY_OF_WEEK
1997754,2020-04-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.26841,0.23719,full_february,DAY_OF_WEEK
1997755,2020-04-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.30516,0.24879,full_february,DAY_OF_WEEK
1997756,2020-04-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15858,0.21161999999999997,full_february,DAY_OF_WEEK
1997757,2020-04-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.1229,0.18212,full_february,DAY_OF_WEEK
1997758,2020-04-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.14257,0.20686,full_february,DAY_OF_WEEK
1997759,2020-04-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.45013000000000003,0.32518,full_february,DAY_OF_WEEK
1997760,2020-04-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.44476000000000004,0.30244,full_february,DAY_OF_WEEK
1997761,2020-04-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15084,0.23847,full_february,DAY_OF_WEEK
1997762,2020-04-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.16166,0.25561999999999996,full_february,DAY_OF_WEEK
1997763,2020-04-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.24815,0.27403,full_february,DAY_OF_WEEK
1997764,2020-04-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.12855999999999998,0.25239,full_february,DAY_OF_WEEK
1997765,2020-04-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.16277,0.23794,full_february,DAY_OF_WEEK
1997766,2020-05-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.40409,0.32384,full_february,DAY_OF_WEEK
1997767,2020-05-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.42156000000000005,0.31339,full_february,DAY_OF_WEEK
1997768,2020-05-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.12825999999999999,0.22551999999999997,full_february,DAY_OF_WEEK
1997769,2020-05-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.22991,0.23315999999999998,full_february,DAY_OF_WEEK
1997770,2020-05-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.18809,0.22216,full_february,DAY_OF_WEEK
1997771,2020-05-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15162,0.21259,full_february,DAY_OF_WEEK
1997772,2020-05-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.11109000000000001,0.25655,full_february,DAY_OF_WEEK
1997773,2020-05-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.36876,0.31556999999999996,full_february,DAY_OF_WEEK
1997774,2020-05-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.37773,0.2978,full_february,DAY_OF_WEEK
1997775,2020-05-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.04049,0.22778,full_february,DAY_OF_WEEK
1997776,2020-05-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.03937,0.24125,full_february,DAY_OF_WEEK
1997777,2020-05-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.0862,0.24914,full_february,DAY_OF_WEEK
1997778,2020-05-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.028560000000000002,0.21739,full_february,DAY_OF_WEEK
1997779,2020-05-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0279,0.20592,full_february,DAY_OF_WEEK
1997780,2020-05-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.23970999999999998,0.26843,full_february,DAY_OF_WEEK
1997781,2020-05-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28644000000000003,0.26898,full_february,DAY_OF_WEEK
1997782,2020-05-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.04373,0.19089,full_february,DAY_OF_WEEK
1997783,2020-05-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0438,0.2055,full_february,DAY_OF_WEEK
1997784,2020-05-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0005,0.20848000000000003,full_february,DAY_OF_WEEK
1997785,2020-05-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.04467,0.23563,full_february,DAY_OF_WEEK
1997786,2020-05-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.00345,0.2391,full_february,DAY_OF_WEEK
1997787,2020-05-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25321,0.28764,full_february,DAY_OF_WEEK
1997788,2020-05-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.38716,0.27857,full_february,DAY_OF_WEEK
1997789,2020-05-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.38897,0.26122,full_february,DAY_OF_WEEK
1997790,2020-05-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.34099,0.26126,full_february,DAY_OF_WEEK
1997791,2020-05-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.32221,0.25143000000000004,full_february,DAY_OF_WEEK
1997792,2020-05-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.32063,0.26598,full_february,DAY_OF_WEEK
1997793,2020-05-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.34814,0.27376,full_february,DAY_OF_WEEK
1997794,2020-05-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.13549,0.28897,full_february,DAY_OF_WEEK
1997795,2020-05-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25944,0.24684,full_february,DAY_OF_WEEK
1997796,2020-05-31,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.24058000000000002,0.24031999999999998,full_february,DAY_OF_WEEK
1997797,2020-06-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.24454,0.25058,full_february,DAY_OF_WEEK
1997798,2020-06-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.30236999999999997,0.25071,full_february,DAY_OF_WEEK
1997799,2020-06-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.19882,0.24749000000000002,full_february,DAY_OF_WEEK
1997800,2020-06-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.20719,0.2537,full_february,DAY_OF_WEEK
1997801,2020-06-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.19957,0.29170999999999997,full_february,DAY_OF_WEEK
1997802,2020-06-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25555,0.26266999999999996,full_february,DAY_OF_WEEK
1997803,2020-06-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.20668000000000003,0.23929,full_february,DAY_OF_WEEK
1997804,2020-06-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25816999999999996,0.25029,full_february,DAY_OF_WEEK
1997805,2020-06-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28336999999999996,0.2393,full_february,DAY_OF_WEEK
1997806,2020-06-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.26287,0.25343000000000004,full_february,DAY_OF_WEEK
1997807,2020-06-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.30064,0.27564,full_february,DAY_OF_WEEK
1997808,2020-06-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.23101999999999998,0.27541,full_february,DAY_OF_WEEK
1997809,2020-06-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.21619000000000002,0.25701999999999997,full_february,DAY_OF_WEEK
1997810,2020-06-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03355,0.21136999999999997,full_february,DAY_OF_WEEK
1997811,2020-06-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0273,0.19689,full_february,DAY_OF_WEEK
1997812,2020-06-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.02695,0.19791,full_february,DAY_OF_WEEK
1997813,2020-06-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.10036,0.21044000000000002,full_february,DAY_OF_WEEK
1997814,2020-06-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.30913,0.28101,full_february,DAY_OF_WEEK
1997815,2020-06-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28689000000000003,0.287,full_february,DAY_OF_WEEK
1997816,2020-06-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.32522,0.27879,full_february,DAY_OF_WEEK
1997817,2020-06-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.04426,0.20288,full_february,DAY_OF_WEEK
1997818,2020-06-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.05872,0.21850999999999998,full_february,DAY_OF_WEEK
1997819,2020-06-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.14662,0.25338,full_february,DAY_OF_WEEK
1997820,2020-06-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.02074,0.22899,full_february,DAY_OF_WEEK
1997821,2020-06-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.35186999999999996,0.26153000000000004,full_february,DAY_OF_WEEK
1997822,2020-06-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.27383,0.295,full_february,DAY_OF_WEEK
1997823,2020-06-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.27791,0.28815,full_february,DAY_OF_WEEK
1997824,2020-06-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.007540000000000001,0.20055,full_february,DAY_OF_WEEK
1997825,2020-06-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.15997999999999998,0.22924,full_february,DAY_OF_WEEK
1997826,2020-06-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.13947,0.23551,full_february,DAY_OF_WEEK
1997827,2020-07-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.0169,0.23029000000000002,full_february,DAY_OF_WEEK
1997828,2020-07-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28489000000000003,0.3278,full_february,DAY_OF_WEEK
1997829,2020-07-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.29,0.29755,full_february,DAY_OF_WEEK
1997830,2020-07-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.37356999999999996,0.30662,full_february,DAY_OF_WEEK
1997831,2020-07-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03608,0.24502,full_february,DAY_OF_WEEK
1997832,2020-07-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.06566,0.22213000000000002,full_february,DAY_OF_WEEK
1997833,2020-07-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.09465,0.23690999999999998,full_february,DAY_OF_WEEK
1997834,2020-07-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.07479,0.22694,full_february,DAY_OF_WEEK
1997835,2020-07-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.29908,0.30618,full_february,DAY_OF_WEEK
1997836,2020-07-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.30212,0.30128,full_february,DAY_OF_WEEK
1997837,2020-07-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.24616999999999997,0.32364,full_february,DAY_OF_WEEK
1997838,2020-07-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.03085,0.24815,full_february,DAY_OF_WEEK
1997839,2020-07-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.08764,0.25948000000000004,full_february,DAY_OF_WEEK
1997840,2020-07-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.22546999999999998,0.26443,full_february,DAY_OF_WEEK
1997841,2020-07-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03696,0.23981,full_february,DAY_OF_WEEK
1997842,2020-07-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.35904,0.26042,full_february,DAY_OF_WEEK
1997843,2020-07-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.22576,0.28098,full_february,DAY_OF_WEEK
1997844,2020-07-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.23464000000000002,0.2697,full_february,DAY_OF_WEEK
1997845,2020-07-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.11334000000000001,0.22234,full_february,DAY_OF_WEEK
1997846,2020-07-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03778,0.2146,full_february,DAY_OF_WEEK
1997847,2020-07-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.02456,0.22755999999999998,full_february,DAY_OF_WEEK
1997848,2020-07-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.01037,0.22846999999999998,full_february,DAY_OF_WEEK
1997849,2020-07-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.23728000000000002,0.27304,full_february,DAY_OF_WEEK
1997850,2020-07-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.2933,0.28194,full_february,DAY_OF_WEEK
1997851,2020-07-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25639,0.26497,full_february,DAY_OF_WEEK
1997852,2020-07-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03464,0.22064,full_february,DAY_OF_WEEK
1997853,2020-07-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.06621,0.23412,full_february,DAY_OF_WEEK
1997854,2020-07-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0161,0.25675,full_february,DAY_OF_WEEK
1997855,2020-07-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.12734,0.2351,full_february,DAY_OF_WEEK
1997856,2020-07-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.16212000000000001,0.26171,full_february,DAY_OF_WEEK
1997857,2020-07-31,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.1929,0.27910999999999997,full_february,DAY_OF_WEEK
1997858,2020-08-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.3171,0.26586,full_february,DAY_OF_WEEK
1997859,2020-08-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.25952,0.27418000000000003,full_february,DAY_OF_WEEK
1997860,2020-08-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.28870999999999997,0.27115,full_february,DAY_OF_WEEK
1997861,2020-08-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.32554,0.27328,full_february,DAY_OF_WEEK
1997862,2020-08-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.24436999999999998,0.2797,full_february,DAY_OF_WEEK
1997863,2020-08-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.22728,0.27429000000000003,full_february,DAY_OF_WEEK
1997864,2020-08-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.21070999999999998,0.3106,full_february,DAY_OF_WEEK
1997865,2020-08-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.27088,0.26019000000000003,full_february,DAY_OF_WEEK
1997866,2020-08-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.007209999999999999,0.25428,full_february,DAY_OF_WEEK
1997867,2020-08-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.01132,0.21752,full_february,DAY_OF_WEEK
1997868,2020-08-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.02568,0.20904,full_february,DAY_OF_WEEK
1997869,2020-08-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.05679,0.23383,full_february,DAY_OF_WEEK
1997870,2020-08-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.16775,0.27552,full_february,DAY_OF_WEEK
1997871,2020-08-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.1985,0.25479,full_february,DAY_OF_WEEK
1997872,2020-08-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.22646999999999998,0.27294,full_february,DAY_OF_WEEK
1997873,2020-08-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.14318,0.21761999999999998,full_february,DAY_OF_WEEK
1997874,2020-08-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.04417,0.23124,full_february,DAY_OF_WEEK
1997875,2020-08-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.0776,0.22721,full_february,DAY_OF_WEEK
1997876,2020-08-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.12232,0.19485999999999998,full_february,DAY_OF_WEEK
1997877,2020-08-20,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.0698,0.23667,full_february,DAY_OF_WEEK
1997878,2020-08-21,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.12329000000000001,0.2823,full_february,DAY_OF_WEEK
1997879,2020-08-22,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.04297,0.23496,full_february,DAY_OF_WEEK
1997880,2020-08-23,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.06626,0.22787,full_february,DAY_OF_WEEK
1997881,2020-08-24,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.09017,0.21713000000000002,full_february,DAY_OF_WEEK
1997882,2020-08-25,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.02951,0.24043,full_february,DAY_OF_WEEK
1997883,2020-08-26,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.16717,0.21909,full_february,DAY_OF_WEEK
1997884,2020-08-27,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.20869000000000001,0.19718,full_february,DAY_OF_WEEK
1997885,2020-08-28,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.0552,0.25449,full_february,DAY_OF_WEEK
1997886,2020-08-29,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.00886,0.2039,full_february,DAY_OF_WEEK
1997887,2020-08-30,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.13963,0.23459000000000002,full_february,DAY_OF_WEEK
1997888,2020-08-31,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.06367,0.21495,full_february,DAY_OF_WEEK
1997889,2020-09-01,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.027139999999999997,0.20723000000000003,full_february,DAY_OF_WEEK
1997890,2020-09-02,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.18017,0.19999,full_february,DAY_OF_WEEK
1997891,2020-09-03,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.08947000000000001,0.21215,full_february,DAY_OF_WEEK
1997892,2020-09-04,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.06576,0.25339,full_february,DAY_OF_WEEK
1997893,2020-09-05,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.017240000000000002,0.24982,full_february,DAY_OF_WEEK
1997894,2020-09-06,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.12035,0.23295,full_february,DAY_OF_WEEK
1997895,2020-09-07,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03185,0.23471999999999998,full_february,DAY_OF_WEEK
1997896,2020-09-08,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.01886,0.21454,full_february,DAY_OF_WEEK
1997897,2020-09-09,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.06651,0.25069,full_february,DAY_OF_WEEK
1997898,2020-09-10,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.03458,0.26127,full_february,DAY_OF_WEEK
1997899,2020-09-11,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10958,0.27886,full_february,DAY_OF_WEEK
1997900,2020-09-12,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.10875,0.21836,full_february,DAY_OF_WEEK
1997901,2020-09-13,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.05754,0.21853000000000003,full_february,DAY_OF_WEEK
1997902,2020-09-14,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.02308,0.22073,full_february,DAY_OF_WEEK
1997903,2020-09-15,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.15891,0.21447,full_february,DAY_OF_WEEK
1997904,2020-09-16,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,0.05165,0.21629,full_february,DAY_OF_WEEK
1997905,2020-09-17,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.019280000000000002,0.21076,full_february,DAY_OF_WEEK
1997906,2020-09-18,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.11880999999999999,0.23456999999999997,full_february,DAY_OF_WEEK
1997907,2020-09-19,IRQ,GADM,IRQ.1.1_1,Abu Ghraib,-0.01462,0.21961,full_february,DAY_OF_WEEK
